Diện tích sử dụng,Mã BĐS,price,Pháp lý,Ngày đăng,Nhà tắm,Phòng ngủ,address,Diện tích đất
225 m2,21476209,9 tỷ,Sổ đỏ,15/10/2025,4,4,"Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",42 m2(4x11)
60 m2,22705619,5 tỷ 500 triệu,Sổ đỏ,15/10/2025,1,2,"Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",
300 m2,21531077,10 tỷ 500 triệu,Sổ đỏ,15/10/2025,6,5,"Phạm Văn Đồng, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",60 m2(5x12)
110 m2,22705642,5 tỷ 190 triệu,Sổ đỏ,15/10/2025,2,3,"Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",
500 m2,21544554,24 tỷ,Sổ đỏ,15/10/2025,6,6,"Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",120 m2(10x12)
50 m2,22705644,3 tỷ 550 triệu,Sổ đỏ,15/10/2025,1,2,"Nam Đồng, Phường Nam Đồng, Quận Đống Đa, Hà Nội",
225 m2,21531082,8 tỷ 300 triệu,Sổ đỏ,15/10/2025,4,4,"Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",45 m2(5x8)
150 m2,22705645,4 tỷ 399 triệu,Sổ đỏ,15/10/2025,2,3,"Phố Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",
320 m2,21565225,26 tỷ,Sổ đỏ,15/10/2025,4,6,"Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội",80 m2(6x14)
45 m2,22706205,2 tỷ 580 triệu,Sổ đỏ,15/10/2025,1,2,"Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",
300 m2,21712340,24 tỷ 800 triệu,Sổ đỏ,15/10/2025,4,4,"Vạn Bảo, Phường Liễu Giai, Quận Ba Đình, Hà Nội",100 m2(6x18)
70 m2,22703334,4 tỷ 500 triệu,Sổ đỏ,15/10/2025,1,2,"Trần Huy Liệu, Phường Giảng Võ, Quận Ba Đình, Hà Nội",
600 m2,21747637,42 tỷ,Sổ đỏ,15/10/2025,5,6,"Tô Hiệu, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",120 m2(5x30)
